cpt_code,description,category
99213,"Office visit, established patient, low complexity",E/M
99214,"Office visit, established patient, moderate complexity",E/M
99203,"Office visit, new patient, low complexity",E/M
71046,"Chest X-ray, 2 views",Radiology
70551,MRI brain without contrast,Radiology
72148,MRI lumbar spine without contrast,Radiology
29881,Knee arthroscopy with meniscectomy,Surgery
47562,Laparoscopic cholecystectomy,Surgery
27447,Total knee replacement,Surgery
80053,Comprehensive metabolic panel,Lab
85025,Complete blood count with differential,Lab
93000,"Electrocardiogram, routine",Diagnostic
